experiment,epoch,train_loss,val_loss,val_accuracy
B2_BN_DO02_Adam,2,1.031705292977227,1.1452233362197877,0.6134
B2_BN_DO02_Adam,3,0.8544622514300876,0.7691501223564148,0.7316
B2_BN_DO02_Adam,4,0.7562349024454753,0.7566873577594757,0.7286
B2_BN_DO02_Adam,5,0.6806754161622789,0.6748971852302551,0.766
B2_BN_DO02_Adam,6,0.6254538766860962,0.6210482041358948,0.7894
B2_BN_DO02_Adam,7,0.5920060831069947,0.63774093542099,0.7774
B2_BN_DO02_Adam,8,0.5538677689446343,0.5661832870960236,0.7976
B2_BN_DO02_Adam,9,0.520917686759101,0.5354988721728325,0.814
B2_BN_DO02_Adam,10,0.4951107725461324,0.4933189610719681,0.8308
B2_BN_DO02_Adam,11,0.4751997948593564,0.5238567821979523,0.8202
B2_BN_DO02_Adam,12,0.4516437416659461,0.5289163862228393,0.816
B2_BN_DO02_Adam,13,0.4334301911460029,0.4964406473636627,0.8256
B2_BN_DO02_Adam,14,0.41930613480144074,0.45659571657180786,0.8428
B2_BN_DO02_Adam,15,0.4043693068292406,0.4621712893843651,0.8468
B2_BN_DO02_Adam,16,0.38856514518525864,0.4477723653376102,0.8442
B2_BN_DO02_Adam,17,0.37414040642844304,0.4366435844182968,0.8504
B2_BN_DO02_Adam,18,0.36356369943088956,0.41630967185497286,0.8542
B2_BN_DO02_Adam,19,0.35208008704185484,0.4171275195837021,0.8664
B2_BN_DO02_Adam,20,0.33991637043423123,0.4253904460430145,0.8602
B2_BN_DO05_Adam,1,1.5442682796266345,1.147017359638214,0.5814
B2_BN_DO05_Adam,2,1.1465243258794149,1.098456605529785,0.6108
B2_BN_DO05_Adam,3,0.9750857313579984,0.9310360427856446,0.6668
B2_BN_DO05_Adam,4,0.8718613667594062,0.7600371687889099,0.728
B2_BN_DO05_Adam,5,0.7975657494015164,0.7687124319076538,0.733
B2_BN_DO05_Adam,6,0.7393314943737453,0.6746087480068207,0.776
B2_BN_DO05_Adam,7,0.693317612171173,0.6862296355247498,0.7656
B2_BN_DO05_Adam,8,0.6535882310867309,0.5991552107095718,0.79
B2_BN_DO05_Adam,9,0.6177000431166755,0.549593008184433,0.808
B2_BN_DO05_Adam,10,0.5855420009719001,0.5519520345211029,0.8158
B2_BN_DO05_Adam,11,0.5685727686776055,0.5197894884109497,0.8248
B2_BN_DO05_Adam,12,0.5350981519487169,0.49883312293291093,0.8286
B2_BN_DO05_Adam,13,0.5081454289648268,0.4802200222015381,0.8278
B2_BN_DO05_Adam,14,0.49263689930174087,0.5296903399944305,0.8238
B2_BN_DO05_Adam,15,0.4784844258785248,0.46984822638034823,0.8386
B2_BN_DO05_Adam,16,0.4629238227632311,0.5079796422958374,0.831
B2_BN_DO05_Adam,17,0.44743591736687555,0.45415477128624915,0.8482
B2_BN_DO05_Adam,18,0.4268191695690155,0.43817998275756836,0.8496
B2_BN_DO05_Adam,19,0.41982187116940817,0.4422457013309002,0.8496
B2_BN_DO05_Adam,20,0.3998523428969913,0.42011952220201493,0.854
